Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-01-03T14:31:00Z,IBM,167.32,100,Market,Filled,16732, 
2017-01-03T14:32:00Z,IBM   170127C00167500,3.75,-1,Market,Filled,-3.75, 
2017-01-28T05:00:00Z,IBM,176.92,100,Market On Open,Filled,17692, 
2017-01-28T05:00:00Z,IBM   170127C00167500,167.5,1,Option Exercise,Filled,167.5,Automatic Assignment - Option Assignment 
2017-01-30T14:31:00Z,IBM   170224C00177500,1.78,-1,Market,Filled,-1.78, 
2017-02-25T05:00:00Z,IBM,181.19,100,Market On Open,Filled,18119, 
2017-02-25T05:00:00Z,IBM   170224C00177500,177.5,1,Option Exercise,Filled,177.5,Automatic Assignment - Option Assignment 
2017-02-27T14:31:00Z,IBM   170324C00182500,2.13,-1,Market,Filled,-2.13, 
2017-03-25T04:00:00Z,IBM   170324C00182500,182.5,1,Option Exercise,Filled,182.5,OTM 
